code,iso,country,WASTE.2014,CXN.2014
4,AFG,Afghanistan,0,8
8,ALB,Albania,4.36,77
12,DZA,Algeria,40.633333333,85.25
16,ASM,American Samoa,99.7,41.1
20,AND,Andorra,38.375,100
24,AGO,Angola,0,14
660,AIA,Anguilla,-9999,-9999
28,ATG,Antigua and Barbuda,-9999,-9999
32,ARG,Argentina,26.25,44.75
51,ARM,Armenia,34,66.4272727273
533,ABW,Aruba,-9999,-9999
36,AUS,Australia,100,92.3333333333
40,AUT,Austria,88.5714285714,89.25
31,AZE,Azerbaijan,30.52,43.075
44,BHS,Bahamas,-9999,-9999
48,BHR,Bahrain,81.125,79.2222222222
50,BGD,Bangladesh,0,9
52,BRB,Barbados,-9999,-9999
112,BLR,Belarus,93.3875,92.5666666667
56,BEL,Belgium,72.586036,82.6666666667
84,BLZ,Belize,15.1,15.1
204,BEN,Benin,0.4,2.1
60,BMU,Bermuda,4.1666666667,5
64,BTN,Bhutan,0,10
68,BOL,Bolivia,30,37.6555555556
70,BIH,Bosnia and Herzegovina,4.1292807446,77
72,BWA,Botswana,5,19
76,BRA,Brazil,23,47.2555555556
92,VGB,British Virgin Islands,24.5,24.5
96,BRN,Brunei Darussalam,86,44
100,BGR,Bulgaria,40.7,70.9090909091
854,BFA,Burkina Faso,2.5,1
108,BDI,Burundi,0,6
116,KHM,Cambodia,0,24.25
120,CMR,Cameroon,0,2
124,CAN,Canada,93.3433333333,86.155
132,CPV,Cape Verde,100,19.4
136,CYM,Cayman Islands,-9999,-9999
140,CAF,Central African Republic,0,1
148,TCD,Chad,0,3
152,CHL,Chile,74.0233333333,93.0090909091
156,CHN,China,38.8222653031,46.8285714286
170,COL,Colombia,5,92
174,COM,Comoros,-9999,-9999
178,COG,Congo,2,9
184,COK,Cook Islands,-9999,-9999
188,CRI,Costa Rica,3.75,24
384,CIV,Cote d'Ivoire,5,12
191,HRV,Croatia,28.073015873,47.1375
192,CUB,Cuba,23.5,39.1
196,CYP,Cyprus,32.7142857143,28.8571428571
203,CZE,Czech Republic,94.48485,80.1
180,COD,Dem. Rep. Congo,0,4
208,DNK,Denmark,100,93.45
262,DJI,Djibouti,0,7
212,DMA,Dominica,13,23
214,DOM,Dominican Republic,26.837398374,22
218,ECU,Ecuador,10,64
818,EGY,Egypt,61.8726736981,80
222,SLV,El Salvador,1,62
226,GNQ,Equatorial Guinea,5,25
232,ERI,Eritrea,0,23
233,EST,Estonia,99.6363636364,75.5454545455
231,ETH,Ethiopia,0,1
234,FRO,Faeroe Islands,-9999,-9999
238,FLK,Falkland Islands,-9999,-9999
242,FJI,Fiji,10,39
246,FIN,Finland,100,84.25
250,FRA,France,97.82,85.6666666667
254,GUF,French Guiana,35.9,48.05
258,PYF,French Polynesia,-9999,-9999
266,GAB,Gabon,0,6
270,GMB,Gambia,5,8
268,GEO,Georgia,0,80
276,DEU,Germany,98.735,96.4
288,GHA,Ghana,37.9569892467,27
292,GIB,Gibraltar,-9999,-9999
300,GRC,Greece,100,87.3333333333
304,GRL,Greenland,-9999,-9999
308,GRD,Grenada,-9999,-9999
312,GLP,Guadeloupe,39.5,39.9
316,GUM,Guam,-9999,-9999
320,GTM,Guatemala,9,59.7
324,GIN,Guinea,8.6666666667,8.6666666667
624,GNB,Guinea-Bissau,0,13
328,GUY,Guyana,0,10.1
332,HTI,Haiti,0,1.5
336,VAT,Holy See,-9999,-9999
340,HND,Honduras,26,59.75
344,HKG,Hong Kong,93.44,93.95
348,HUN,Hungary,96.625,60.6666666667
352,ISL,Iceland,57.7142857143,90
356,IND,India,31.780616015,33
360,IDN,Indonesia,1,1.75
364,IRN,Iran,9.247251198,30
368,IRQ,Iraq,28.17557105,29.425
372,IRL,Ireland,90.8733333333,96.25
833,IMN,Isle of Man,-9999,-9999
376,ISR,Israel,95.5916666667,92.48
380,ITA,Italy,99.3886907794,92
388,JAM,Jamaica,40,25
392,JPN,Japan,100,71.26
400,JOR,Jordan,52.3248587571,80.85
398,KAZ,Kazakhstan,50,61
404,KEN,Kenya,6.3909090909,8.1333333333
296,KIR,Kiribati,-9999,-9999
414,KWT,Kuwait,43,100
417,KGZ,Kyrgyzstan,10,42
418,LAO,Laos,0,3.5
428,LVA,Latvia,66.1666666667,75
422,LBN,Lebanon,26.36986301,57.2
426,LSO,Lesotho,5,6
430,LBR,Liberia,0,14.05
434,LBY,Libya,23.9520958084,75.5
438,LIE,Liechtenstein,-9999,-9999
440,LTU,Lithuania,66.2857142857,69.125
442,LUX,Luxembourg,100,95
446,MAC,Macao,-9999,99.9
807,MKD,Macedonia,6.2777777778,59.5
450,MDG,Madagascar,10.625,5
454,MWI,Malawi,0,3.5
458,MYS,Malaysia,16,54
462,MDV,Maldives,5,92.9035310714
466,MLI,Mali,0,4
470,MLT,Malta,37.7,98.1818181818
584,MHL,Marshall Islands,0,43.3
474,MTQ,Martinique,46.25,46.35
478,MRT,Mauritania,0,2
480,MUS,Mauritius,22.25,24.4444444444
175,MYT,Mayotte,-9999,-9999
484,MEX,Mexico,51.5332550933,72.6666666667
583,FSM,Micronesia,-9999,-9999
498,MDA,Moldova,57.4,59.5
492,MCO,Monaco,100,100
496,MNG,Mongolia,60,33
499,MNE,Montenegro,10,51
500,MSR,Montserrat,-9999,-9999
504,MAR,Morocco,46.5,84.7166666667
508,MOZ,Mozambique,50,5
104,MMR,Myanmar,0,4.25
516,NAM,Namibia,52,25
520,NRU,Nauru,-9999,-9999
524,NPL,Nepal,0,9.75
528,NLD,Netherlands,100,98.8181818182
530,ANT,Netherlands Antilles,-9999,-9999
540,NCL,New Caledonia,-9999,-9999
554,NZL,New Zealand,82,95
558,NIC,Nicaragua,21,40
562,NER,Niger,0,4
566,NGA,Nigeria,11,9.833784
570,NIU,Niue,-9999,-9999
574,NFK,Norfolk Island,-9999,-9999
408,PRK,North Korea,0,9
580,MNP,Northern Mariana Islands,82,-9999
578,NOR,Norway,94.8673165583,81.2222222222
512,OMN,Oman,20,67
586,PAK,Pakistan,6.514348912,54
585,PLW,Palau,100,40
591,PAN,Panama,39.125,51.5
598,PNG,Papua New Guinea,0,11
600,PRY,Paraguay,1,15.5
604,PER,Peru,28,74.9125
608,PHL,Philippines,8.5,6.25
612,PCN,Pitcairn,-9999,-9999
616,POL,Poland,100,60.7272727273
620,PRT,Portugal,90.3328571429,77.8571428571
630,PRI,Puerto Rico,100,57
634,QAT,Qatar,87.51281759,76.920374
638,REU,Reunion,34.05,36.5
642,ROU,Romania,28,46.625
643,RUS,Russia,25,86
646,RWA,Rwanda,0,10
654,SHN,Saint Helena,-9999,-9999
659,KNA,Saint Kitts and Nevis,-9999,-9999
662,LCA,Saint Lucia,-9999,-9999
666,SPM,Saint Pierre and Miquelon,-9999,-9999
670,VCT,Saint Vincent and the Grenadines,-9999,-9999
882,WSM,Samoa,-9999,-9999
674,SMR,San Marino,-9999,-9999
678,STP,Sao Tome and Principe,-9999,-9999
682,SAU,Saudi Arabia,55.96933187,51
686,SEN,Senegal,12.5,16.5
688,SRB,Serbia,15.75,55.8
690,SYC,Seychelles,-9999,-9999
694,SLE,Sierra Leone,0,2
702,SGP,Singapore,99.65,100
703,SVK,Slovakia,97.6866666667,59
705,SVN,Slovenia,84.8444083333,63.6363636364
90,SLB,Solomon Islands,0,30
706,SOM,Somalia,-9999,-9999
710,ZAF,South Africa,48.875,57
